shipment_id,carrier_code,origin_site,dest_site,dispatched_at,delivered_at,weight_kg,cost_usd,status
SHP-1001,AER,LON-01,FRA-03,2025-01-06,2025-01-09,12.4,340.00,delivered
SHP-1002,BLT,MAN-02,DUB-01,2025-01-07,2025-01-08,3.2,120.50,delivered
SHP-1003,CVX,DUB-01,LON-01,2025-01-08,2025-01-07,18.9,410.75,delivered
SHP-1004,AER,FRA-03,BCN-01,2025-01-09,2025-01-13,7.6,275.00,delivered
SHP-1005,BLT,LON-01,MAD-01,2025-01-10,2025-01-14,48.5,890.25,delivered
SHP-1006,CVX,AMS-02,MAN-02,2025-01-10,,14200,315.00,in_transit
SHP-1007,DNR,MAD-01,FRA-03,2025-01-11,2025-01-15,22.1,505.40,delivered
SHP-1008,AER,LON-01,OSL-04,2025-01-12,2025-01-16,9.8,298.00,delivered
SHP-1009,BLT,MAN-02,AMS-02,2025-01-13,2025-01-15,5.4,160.00,delivered
SHP-1010,CVX,DUB-01,FRA-03,2025-01-14,,9800,372.30,in_transit
SHP-1011,AER,FRA-03,LON-01,2025-01-15,2025-01-17,31.7,640.00,delivered
SHP-1012,BLT,MAD-01,LIS-05,2025-01-16,2025-01-20,11.2,410.00,delivered
SHP-1013,DNR,AMS-02,DUB-01,2025-01-17,2025-01-16,6.9,205.80,delivered
SHP-1014,CVX,LON-01,MAN-02,2025-01-18,2025-01-19,4.1,95.00,delivered
SHP-1015,AER,MAN-02,MAD-01,2025-01-20,2025-01-24,23500,712.00,delivered
SHP-1016,BLT,FRA-03,AMS-02,2025-01-21,2025-01-23,16.3,388.90,delivered
SHP-1017,CVX,DUB-01,MAN-02,2025-01-22,,8.7,pending,in_transit
SHP-1018,AER,AMS-02,LON-01,2025-01-23,2025-01-25,27.5,551.00,delivered
SHP-1019,DNR,MAD-01,DUB-01,2025-01-24,2025-01-28,13.8,430.60,returned
SHP-1020,BLT,LON-01,FRA-03,2025-01-25,2025-01-27,19.6,470.00,delivered
